,Kraftraeder insgesamt,Kraftraeder zweirädrige Kfz,Kraftraeder dreirädrige Kfz,Kraftraeder leichte vierrädrige Kfz,Kraftraeder darunter weibliche Halter,PKW insgesamt,PKW Hubraum bis 1399,PKW Hubraum 1400 bis 1999,PKW Hubraum 2000 und mehr,PKW Hubraum unbekannt,PKW mit Elektromotor,PKW mit offenem Aufbau,PKW mit Allradantrieb,PKW Wohnmobile,PKW Krankenwagen oder Notarzt,PKW gewerbliche Halter,PKW weibliche Halter,PKW Dichte (je 1 000 Einwohner),Kraftomnibusse,LKW insgesamt,LKW Gesamtmasse bis 2800,LKW Gesamtmasse 2801 bis 3500,LKW Gesamtmasse 3501 bis 5000,LKW Gesamtmasse 5001 bis 7500,LKW Gesamtmasse 7501 bis 12000,LKW Gesamtmasse 12001 bis 20000,LKW Gesamtmasse 20001 und mehr,LKW Gesamtmasse unbekannt,Zugmaschinen insgesamt,Sattelzugmaschinen,land- oder forst- wirtschaftliche Zugmaschinen,Zugmaschinen unter Spalte 31 leichte Zugmaschinen,Sonstige Kfz,Nutzfahrzeuge insgesamt,Kraftfahrzeuge insgesamt,Kraftfahrzeuge Dichte (je 1000 Einwohner),Kraftfahrzeuganhänger,PKW Insgesamt,PKW Benzin,PKW Diesel,PKW Gas insgesamt,PKW Gas dar Erdgas,PKW sonstige Energiequelle,PKW Emissionsgruppe Euro 1,PKW Emissionsgruppe Euro 2,PKW Emissionsgruppe Euro 3,PKW Emissionsgruppe Euro 4,PKW Emissionsgruppe Euro 5,PKW Emissionsgruppe Euro 6,PKW Emissionsgruppe sonstige,PKW Emissionsgruppe schadstoffreduzierte insgesamt,PKW ohne Emissionsgruppe,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 1,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 2,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 3,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 4,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 5,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 6,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen sonstige,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen schadstoffreduzierte mit Dieselantrieb insgesamt,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen ohne Emissionsgruppe
,1 (table 1),2 (table 1),3 (table 1),4 (table 1),5 (table 1),6 (table 1),7 (table 1),8 (table 1),9 (table 1),10 (table 1),11 (table 1),12 (table 1),13 (table 1),14 (table 1),15 (table 1),16 (table 1),17 (table 1),18 (table 1),19 (table 1),20 (table 1),21 (table 1),22 (table 1),23 (table 1),24 (table 1),25 (table 1),26 (table 1),27 (table 1),28 (table 1),29 (table 1),30 (table 1),31 (table 1),32 (table 1),33 (table 1),34 (table 1),35 (table 1),36 (table 1),37 (table 1),1 (table 2),2 (table 2),3 (table 2),4 (table 2),5 (table 2),6 (table 2),7 (table 2),8 (table 2),9 (table 2),10 (table 2),11 (table 2),12 (table 2),13 (table 2),14 (table 2),15 (table 2),16 (table 2),17 (table 2),18 (table 2),19 (table 2),20 (table 2),21 (table 2),22 (table 2),23 (table 2),24 (table 2)
Berlin,103150,101121,1061,968,14844,1178417,417628,570257,188936,1596,1445,45065,81950,9817,1158,153541,394083,340,2274,89879,41957,32196,1672,5571,3434,1685,3364,-,5787,3577,1420,410,8226,106166,1387733,400,84492,1178417,854691,296399,17429,3058,9898,30721,151390,145941,405673,342831,83363,2699,1162618,15799,1715,16451,45005,73141,124748,31950,1095,294105,2294
Hamburg,52535,51425,403,707,7460,761655,252419,368016,140237,983,858,44435,65024,10203,561,146429,236353,432,1714,52285,22961,20732,797,4048,1367,822,1555,3,7076,3355,2930,263,4578,65653,879843,499,66336,761655,491695,259707,6507,1417,3746,17290,79273,83582,239323,230627,94514,3969,748578,13077,2410,14839,35045,51243,104049,48857,1859,258302,1405
München (09162),61368,60189,671,508,8235,705476,175169,372542,156440,1325,1202,44786,99631,7695,270,203113,189684,493,1427,34835,12466,16528,428,2917,822,587,1087,-,4493,702,2453,235,4946,45701,812545,568,40298,705276,407863,287868,3993,891,5752,17436,59221,66742,189042,218485,131358,6604,688888,16588,1609,10162,28294,51133,177879,75344,2203,286624,1244
Köln (05315),36285,35442,420,423,5026,461121,153158,231524,75623,816,766,27003,34922,4263,203,85275,146876,441,951,27784,11652,11429,558,1986,663,530,966,-,2921,1603,892,137,2249,33905,531311,508,29834,461121,296493,155778,5653,509,3197,10869,48348,53133,151253,138702,48931,2039,453275,7846,642,6005,19593,36044,66571,25682,660,155197,581
Frankfurt am Main (06412),20579,20081,249,249,2797,323512,85108,172672,65307,425,370,16693,36035,1461,229,91334,87162,451,514,21232,9524,9229,442,1044,345,284,364,-,1598,346,798,79,1787,25131,369222,515,14346,323512,181670,137246,2739,844,1857,7050,30215,31598,91986,112134,43073,1054,317110,6402,271,3552,12125,24755,67042,28768,258,136771,475
Stuttgart (08111),23059,22508,294,257,3202,293961,78182,141622,73490,667,602,18977,34052,2097,95,73619,81036,480,682,14573,5946,5985,298,939,330,418,657,-,2794,807,1251,112,1402,19451,336471,549,17487,293961,180388,109556,1978,434,2039,5853,29518,29999,84424,92830,45825,618,289067,4894,210,4498,13068,22218,47740,21266,203,109203,353
Düsseldorf (05111),22091,21592,219,280,2894,299756,85109,155638,58802,207,179,17855,29497,1776,215,79137,85399,496,606,16906,8981,5619,316,975,433,259,323,-,1495,489,754,64,3696,22703,344550,570,15942,299756,177956,116757,3584,790,1459,7311,30255,30471,87563,102393,34898,1154,294045,5711,357,4167,11757,21573,57125,21022,416,116417,340
Leipzig (14713),12413,12049,82,282,1472,216206,79971,111345,24726,164,142,4502,12896,1094,139,24569,72719,397,257,14006,7115,5121,251,578,328,217,396,-,1165,443,555,119,1268,16696,245315,451,20371,216206,158947,53273,2655,619,1331,3961,22950,25730,78859,67199,15157,442,214298,1908,157,2002,7149,13123,24329,6145,176,53081,192
Dortmund,22631,22154,140,337,3266,272752,102352,131819,38440,141,110,13883,17220,1822,117,22464,96439,470,397,13129,5121,5260,256,991,466,414,620,1,2062,1136,665,103,895,16483,311866,537,23055,272752,191097,76761,4072,458,822,6106,32715,33304,97099,80766,18173,905,269068,3684,308,3300,11254,21024,32684,7520,375,76465,296
