,Kraftraeder insgesamt,Kraftraeder zweirädrige Kfz,Kraftraeder dreirädrige Kfz,Kraftraeder leichte vierrädrige Kfz,Kraftraeder darunter weibliche Halter,PKW insgesamt,PKW Hubraum bis 1399,PKW Hubraum 1400 bis 1999,PKW Hubraum 2000 und mehr,PKW Hubraum unbekannt,PKW mit Elektromotor,PKW mit offenem Aufbau,PKW mit Allradantrieb,PKW Wohnmobile,PKW Krankenwagen oder Notarzt,PKW gewerbliche Halter,PKW weibliche Halter,PKW Dichte (je 1 000 Einwohner),Kraftomnibusse,LKW insgesamt,LKW Gesamtmasse bis 2800,LKW Gesamtmasse 2801 bis 3500,LKW Gesamtmasse 3501 bis 5000,LKW Gesamtmasse 5001 bis 7500,LKW Gesamtmasse 7501 bis 12000,LKW Gesamtmasse 12001 bis 20000,LKW Gesamtmasse 20001 und mehr,LKW Gesamtmasse unbekannt,Zugmaschinen insgesamt,Sattelzugmaschinen,land- oder forst- wirtschaftliche Zugmaschinen,Zugmaschinen unter Spalte 31 leichte Zugmaschinen,Sonstige Kfz,Nutzfahrzeuge insgesamt,Kraftfahrzeuge insgesamt,Kraftfahrzeuge Dichte (je 1000 Einwohner),Kraftfahrzeuganhänger,PKW Insgesamt,PKW Benzin,PKW Diesel,PKW Gas insgesamt,PKW Gas dar Erdgas,PKW sonstige Energiequelle,PKW Emissionsgruppe Euro 1,PKW Emissionsgruppe Euro 2,PKW Emissionsgruppe Euro 3,PKW Emissionsgruppe Euro 4,PKW Emissionsgruppe Euro 5,PKW Emissionsgruppe Euro 6,PKW Emissionsgruppe sonstige,PKW Emissionsgruppe schadstoffreduzierte insgesamt,PKW ohne Emissionsgruppe,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 1,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 2,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 3,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 4,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 5,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 6,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen sonstige,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen schadstoffreduzierte mit Dieselantrieb insgesamt,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen ohne Emissionsgruppe
,1 (table 1),2 (table 1),3 (table 1),4 (table 1),5 (table 1),6 (table 1),7 (table 1),8 (table 1),9 (table 1),10 (table 1),11 (table 1),12 (table 1),13 (table 1),14 (table 1),15 (table 1),16 (table 1),17 (table 1),18 (table 1),19 (table 1),20 (table 1),21 (table 1),22 (table 1),23 (table 1),24 (table 1),25 (table 1),26 (table 1),27 (table 1),28 (table 1),29 (table 1),30 (table 1),31 (table 1),32 (table 1),33 (table 1),34 (table 1),46 (table 1),47 (table 1),37 (table 1),1 (table 2),2 (table 2),3 (table 2),4 (table 2),5 (table 2),6 (table 2),7 (table 2),8 (table 2),9 (table 2),10 (table 2),11 (table 2),12 (table 2),13 (table 2),14 (table 2),15 (table 2),16 (table 2),17 (table 2),18 (table 2),19 (table 2),20 (table 2),21 (table 2),22 (table 2),23 (table 2),24 (table 2)
Berlin,,,,,,1135704,,,,,,,,,,,,328,,78367,,,,,,,,,,,,,,,1327015,383,,,886562,230836,,,3430,71138,253535,186186,457691,150419,536,2905,1122410,,,,,,,,,,
Hamburg,,,,,,731283,,,,,,,,,,,,409,,48226,,,,,,,,,,,,,,,841862,471,,,511011,213365,,,1328,35477,135210,112385,385853,145503,696,4046,719170,,,,,,,,,,
München (09162),,,,,,663127,,,,,,,,,,,,490,,28760,,,,,,,,,,,,,,,755823,559,,,419398,238535,,,1583,31742,103461,97330,237557,168693,936,7698,647417,,,,,,,,,,
Köln (05315),,,,,,438952,,,,,,,,,,,,436,,25892,,,,,,,,,,,,,,,504710,501,,,302061,131396,,,916,24166,81655,71635,173014,73894,210,2479,427053,,,,,,,,,,
Frankfurt am Main (06412),,,,,,308146,,,,,,,,,,,,453,,20601,,,,,,,,,,,,,,,351326,517,,,188755,116062,,,656,15174,50971,43499,114906,76143,297,1177,302167,,,,,,,,,,
Stuttgart (08111),,,,,,277606,,,,,,,,,,,,458,,12446,,,,,,,,,,,,,,,315172,520,,,184664,90600,,,610,11870,50848,41675,105145,62913,543,745,273739,,,,,,,,,,
Düsseldorf (05111),,,,,,282437,,,,,,,,,,,,480,,14373,,,,,,,,,,,,,,,322919,548,,,181871,97015,,,478,15205,49275,42674,108426,59875,258,1544,277257,,,,,,,,,,
Leipzig (14713),,,,,,200054,,,,,,,,,,,,383,,13484,,,,,,,,,,,,,,,226527,433,,,157308,39713,,,546,9747,39109,34168,87496,27419,52,532,198523,,,,,,,,,,
Dortmund,,,,,,258153,,,,,,,,,,,,445,,12827,,,,,,,,,,,,,,,296337,511,,,190795,63695,,,282,14176,55115,43643,106485,33815,70,1371,254675,,,,,,,,,,
Essen,,,,,,266528,,,,,,,,,,,,464,,14795,,,,,,,,,,,,,,,305552,532,,,197831,64084,,,297,14221,53681,43474,112201,39313,113,642,263645,,,,,,,,,,
