"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Bayern;DEBY119;"Würzburg/Stadtring Süd";"städtisches Gebiet";Verkehr;26;19
Bayern;DEBY120;Nürnberg/Von-der-Tann-Straße;"städtisches Gebiet";Verkehr;25;17
Bayern;DEBY121;Oberaudorf/Inntal-Autobahn;"ländlich stadtnah";Verkehr;22;14
Berlin;DEBE010;"Berlin Wedding";"städtisches Gebiet";Hintergrund;23;14
Berlin;DEBE032;"Berlin Grunewald (3.5 m)";"ländlich stadtnah";Hintergrund;18;5
Berlin;DEBE034;"Berlin Neukölln";"städtisches Gebiet";Hintergrund;22;15
Berlin;DEBE051;"Berlin Buch";"vorstädtisches Gebiet";Hintergrund;19;6
Berlin;DEBE056;"Berlin Friedrichshagen";"ländlich stadtnah";Hintergrund;18;7
Berlin;DEBE068;"Berlin Mitte";"städtisches Gebiet";Hintergrund;22;14
Berlin;DEBE061;"Berlin Schildhornstraße";"städtisches Gebiet";Verkehr;24;17
Berlin;DEBE063;"Berlin Silbersteinstraße";"städtisches Gebiet";Verkehr;28;31
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"städtisches Gebiet";Verkehr;28;26
Berlin;DEBE065;"Berlin Frankfurter Allee";"städtisches Gebiet";Verkehr;27;22
Berlin;DEBE067;"Berlin Hardenbergplatz";"städtisches Gebiet";Verkehr;25;23
Berlin;DEBE069;"Berlin Mariendorfer Damm";"städtisches Gebiet";Verkehr;29;23
Brandenburg;DEBB007;"Elsterwerda, 1992-2020";"vorstädtisches Gebiet";Hintergrund;21;14
Brandenburg;DEBB021;Potsdam-Zentrum;"städtisches Gebiet";Hintergrund;20;7
Brandenburg;DEBB042;"Frankfurt (Oder), 1997-2014";"vorstädtisches Gebiet";Hintergrund;22;20
Brandenburg;DEBB048;Neuruppin;"vorstädtisches Gebiet";Hintergrund;18;6
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;17;7
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;18;6
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;15;4
Brandenburg;DEBB064;Cottbus;"städtisches Gebiet";Hintergrund;22;19
Brandenburg;DEBB065;"Lütte (Belzig)";"ländlich regional";Hintergrund;15;4
Brandenburg;DEBB066;Spreewald;"ländlich regional";Hintergrund;19;7
Brandenburg;DEBB067;Nauen;"vorstädtisches Gebiet";Hintergrund;18;5
Brandenburg;DEBB075;"Potsdam, Groß Glienicke";"vorstädtisches Gebiet";Hintergrund;17;6
Brandenburg;DEBB082;"Königs Wusterhausen";"vorstädtisches Gebiet";Hintergrund;18;9
Brandenburg;DEBB083;Spremberg;"vorstädtisches Gebiet";Hintergrund;21;16
Brandenburg;DEBB029;"Schwedt (Oder)";"vorstädtisches Gebiet";Industrie;18;9
Brandenburg;DEBB032;Eisenhüttenstadt;"vorstädtisches Gebiet";Industrie;20;21
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"städtisches Gebiet";Verkehr;26;30
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"städtisches Gebiet";Verkehr;21;10
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"städtisches Gebiet";Verkehr;26;20
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"städtisches Gebiet";Verkehr;25;17
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"städtisches Gebiet";Verkehr;24;18
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"städtisches Gebiet";Verkehr;23;11
Brandenburg;DEBB087;"Cottbus, W.-Külz-Str.";"städtisches Gebiet";Verkehr;24;19
Bremen;DEHB001;Bremen-Mitte;"städtisches Gebiet";Hintergrund;19;2
Bremen;DEHB004;Bremen-Nord;"städtisches Gebiet";Hintergrund;18;1
Bremen;DEHB005;Bremerhaven-Hansastraße;"städtisches Gebiet";Hintergrund;18;1
Bremen;DEHB012;Bremen-Oslebshausen;"städtisches Gebiet";Hintergrund;16;1
Bremen;DEHB013;Bremen-Hasenbüren;"ländlich regional";Industrie;21;8
Bremen;DEHB006;Bremen-Dobben;"städtisches Gebiet";Verkehr;24;13
Bremen;DEHB011;"Bremerhaven-Cherbourger Straße";"städtisches Gebiet";Verkehr;24;8
Hamburg;DEHH008;"Hamburg Sternschanze";"städtisches Gebiet";Hintergrund;21;7
Hamburg;DEHH033;"Hamburg Flughafen Nord";"städtisches Gebiet";Hintergrund;19;4
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"städtisches Gebiet";Hintergrund;20;5
Hamburg;DEHH074;"Hamburg Billstedt";"städtisches Gebiet";Hintergrund;20;5
Hamburg;DEHH079;"Hamburg Altona Elbhang";"städtisches Gebiet";Hintergrund;17;4
Hamburg;DEHH015;"Hamburg Veddel";"städtisches Gebiet";Industrie;20;4
Hamburg;DEHH072;"Hamburg Finkenwerder West";"städtisches Gebiet";Industrie;17;4
Hamburg;DEHH026;"Hamburg Stresemannstraße";"städtisches Gebiet";Verkehr;22;9
Hamburg;DEHH068;"Hamburg Habichtstraße";"städtisches Gebiet";Verkehr;28;11
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"städtisches Gebiet";Verkehr;21;6
Hessen;DEHE001;Darmstadt;"städtisches Gebiet";Hintergrund;18;5
Hessen;DEHE005;Frankfurt-Höchst;"städtisches Gebiet";Hintergrund;20;7
Hessen;DEHE008;"Frankfurt Ost";"städtisches Gebiet";Hintergrund;22;11
Hessen;DEHE009;Frankfurt-Sindlingen;"städtisches Gebiet";Hintergrund;20;8
Hessen;DEHE011;Hanau;"städtisches Gebiet";Hintergrund;22;8
Hessen;DEHE013;"Kassel Mitte";"städtisches Gebiet";Hintergrund;20;7
Hessen;DEHE018;Raunheim;"städtisches Gebiet";Hintergrund;20;7
Hessen;DEHE020;Wetzlar;"städtisches Gebiet";Hintergrund;22;9
Hessen;DEHE022;"Wiesbaden Süd";"städtisches Gebiet";Hintergrund;19;6
Hessen;DEHE024;Witzenhausen/Wald;"ländliches Gebiet";Hintergrund;10;2
Hessen;DEHE028;Fürth/Odenwald;"ländliches Gebiet";Hintergrund;13;2
Hessen;DEHE030;Marburg;"städtisches Gebiet";Hintergrund;18;5
Hessen;DEHE032;Bebra;"städtisches Gebiet";Hintergrund;20;5
Hessen;DEHE043;Riedstadt;"ländlich stadtnah";Hintergrund;20;7
Hessen;DEHE044;Limburg;"städtisches Gebiet";Hintergrund;19;3
Hessen;DEHE045;Michelstadt;"städtisches Gebiet";Hintergrund;18;3
Hessen;DEHE046;"Bad Arolsen";"ländliches Gebiet";Hintergrund;16;5
Hessen;DEHE051;Wasserkuppe;"ländliches Gebiet";Hintergrund;9;0
Hessen;DEHE052;"Kleiner Feldberg";"ländliches Gebiet";Hintergrund;10;0
Hessen;DEHE058;Fulda-Mitte;"städtisches Gebiet";Hintergrund;18;5
Hessen;DEHE060;Kellerwald;"ländlich regional";Hintergrund;9;2
Hessen;DEHE095;"Wetzlar Im Köhlersgarten";"vorstädtisches Gebiet";Industrie;24;10
Hessen;DEHE037;"Wiesbaden Ringkirche";"städtisches Gebiet";Verkehr;22;8
Hessen;DEHE040;"Darmstadt Hügelstraße";"städtisches Gebiet";Verkehr;25;15
Hessen;DEHE041;"Frankfurt Friedberger Landstraße";"städtisches Gebiet";Verkehr;25;19
Hessen;DEHE049;"Kassel Fünffensterstraße";"städtisches Gebiet";Verkehr;26;13
Hessen;DEHE059;"Fulda Petersberger Straße";"städtisches Gebiet";Verkehr;23;12
Hessen;DEHE061;"Gießen Westanlage";"städtisches Gebiet";Verkehr;23;12
Hessen;DEHE062;"Marburg Universitätsstraße";"städtisches Gebiet";Verkehr;22;9
Hessen;DEHE063;"Heppenheim Lehrstraße";"städtisches Gebiet";Verkehr;22;10
Hessen;DEHE094;Reinheim;"städtisches Gebiet";Verkehr;23;13
Hessen;DEHE112;"Wiesbaden Schiersteiner Straße";"städtisches Gebiet";Verkehr;22;7
Mecklenburg-Vorpommern;DEMV004;Gülzow;"ländliches Gebiet";Hintergrund;17;10
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;"vorstädtisches Gebiet";Hintergrund;16;7
Mecklenburg-Vorpommern;DEMV012;Löcknitz;"ländliches Gebiet";Hintergrund;17;9
Mecklenburg-Vorpommern;DEMV017;Göhlen;"ländliches Gebiet";Hintergrund;17;4
Mecklenburg-Vorpommern;DEMV019;Güstrow;"städtisches Gebiet";Hintergrund;17;7
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;"städtisches Gebiet";Hintergrund;16;6
Mecklenburg-Vorpommern;DEMV024;Leizen;"ländliches Gebiet";Hintergrund;15;8
Mecklenburg-Vorpommern;DEMV003;Neubrandenburg;"städtisches Gebiet";Verkehr;20;14
Mecklenburg-Vorpommern;DEMV020;"Rostock Am Strande";"städtisches Gebiet";Verkehr;26;15
Mecklenburg-Vorpommern;DEMV022;Rostock-Holbeinplatz;"städtisches Gebiet";Verkehr;22;11
Mecklenburg-Vorpommern;DEMV023;Schwerin-Obotritenring;"städtisches Gebiet";Verkehr;19;5
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;"städtisches Gebiet";Verkehr;18;9
Niedersachsen;DENI011;Braunschweig;"vorstädtisches Gebiet";Hintergrund;18;7
Niedersachsen;DENI016;Oker/Harlingerode;"vorstädtisches Gebiet";Hintergrund;13;5
Niedersachsen;DENI020;Wolfsburg;"vorstädtisches Gebiet";Hintergrund;15;5
Niedersachsen;DENI028;Eichsfeld;"vorstädtisches Gebiet";Hintergrund;14;2
Niedersachsen;DENI029;Ostfriesland;"vorstädtisches Gebiet";Hintergrund;16;6
Niedersachsen;DENI031;Jadebusen;"ländliches Gebiet";Hintergrund;16;4
Niedersachsen;DENI038;Osnabrück;"städtisches Gebiet";Hintergrund;16;4
Niedersachsen;DENI041;Weserbergland;"vorstädtisches Gebiet";Hintergrund;18;6
Niedersachsen;DENI042;Göttingen;"vorstädtisches Gebiet";Hintergrund;13;2
Niedersachsen;DENI043;Emsland;"vorstädtisches Gebiet";Hintergrund;17;5
Niedersachsen;DENI051;Wurmberg;"ländliches Gebiet";Hintergrund;7;0
Niedersachsen;DENI052;Allertal;"vorstädtisches Gebiet";Hintergrund;18;6
Niedersachsen;DENI054;Hannover;"städtisches Gebiet";Hintergrund;16;3
Niedersachsen;DENI058;"Ostfries. Inseln";"ländliches Gebiet";Hintergrund;16;2
Niedersachsen;DENI059;Elbmündung;"ländliches Gebiet";Hintergrund;16;4
Niedersachsen;DENI060;Wendland;"ländliches Gebiet";Hintergrund;16;6
Niedersachsen;DENI062;"Lüneburger Heide";"vorstädtisches Gebiet";Hintergrund;15;5
Niedersachsen;DENI063;"Altes Land";"ländliches Gebiet";Hintergrund;16;4
Niedersachsen;DENI077;Solling-Süd;"ländliches Gebiet";Hintergrund;13;4
Niedersachsen;DENI053;Südoldenburg;"vorstädtisches Gebiet";Industrie;20;9
Niedersachsen;DENI070;Salzgitter-Drütte;"ländliches Gebiet";Industrie;18;9
Niedersachsen;DENI048;"Hannover Verkehr";"städtisches Gebiet";Verkehr;23;15
Niedersachsen;DENI067;Osnabrück-Verkehr;"städtisches Gebiet";Verkehr;25;17
Niedersachsen;DENI068;Göttingen-Verkehr;"städtisches Gebiet";Verkehr;23;13
Niedersachsen;DENI071;Barbis-Verkehr;"vorstädtisches Gebiet";Verkehr;19;7
Niedersachsen;DENI075;Braunschweig-Verkehr;"städtisches Gebiet";Verkehr;25;15
Niedersachsen;DENI076;"Oldenburg Verkehr";"städtisches Gebiet";Verkehr;19;7
Nordrhein-Westfalen;DENW002;Datteln-Hagem;"vorstädtisches Gebiet";Hintergrund;21;9
Nordrhein-Westfalen;DENW006;Lünen-Niederaden;"vorstädtisches Gebiet";Hintergrund;21;9
Nordrhein-Westfalen;DENW008;Dortmund-Eving;"städtisches Gebiet";Hintergrund;21;8
Nordrhein-Westfalen;DENW022;Gelsenkirchen-Bismarck;"vorstädtisches Gebiet";Hintergrund;23;24
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;"städtisches Gebiet";Hintergrund;24;20
Nordrhein-Westfalen;DENW029;Hattingen-Blankenstein;"vorstädtisches Gebiet";Hintergrund;20;8
Nordrhein-Westfalen;DENW030;Wesel-Feldmark;"vorstädtisches Gebiet";Hintergrund;22;10
Nordrhein-Westfalen;DENW038;Mülheim-Styrum;"städtisches Gebiet";Hintergrund;22;16
Nordrhein-Westfalen;DENW040;Duisburg-Buchholz;"vorstädtisches Gebiet";Hintergrund;20;10
Nordrhein-Westfalen;DENW042;Krefeld-Linn;"städtisches Gebiet";Hintergrund;21;12
Nordrhein-Westfalen;DENW053;Köln-Chorweiler;"städtisches Gebiet";Hintergrund;20;16
Nordrhein-Westfalen;DENW059;Köln-Rodenkirchen;"vorstädtisches Gebiet";Hintergrund;20;11
Nordrhein-Westfalen;DENW062;Bonn-Auerberg;"vorstädtisches Gebiet";Hintergrund;20;12
Nordrhein-Westfalen;DENW064;"Simmerath (Eifel)";"ländlich regional";Hintergrund;11;2
Nordrhein-Westfalen;DENW065;"Netphen Rothaargebirge";"ländlich regional";Hintergrund;12;1
Nordrhein-Westfalen;DENW066;Nettetal-Kaldenkirchen;"ländlich stadtnah";Hintergrund;22;21
Nordrhein-Westfalen;DENW067;Bielefeld-Ost;"städtisches Gebiet";Hintergrund;20;10
Nordrhein-Westfalen;DENW068;Soest-Ost;"ländlich stadtnah";Hintergrund;18;5
Nordrhein-Westfalen;DENW071;Düsseldorf-Lörick;"städtisches Gebiet";Hintergrund;23;15
Nordrhein-Westfalen;DENW078;Ratingen-Tiefenbroich;"vorstädtisches Gebiet";Hintergrund;21;16
Nordrhein-Westfalen;DENW079;Leverkusen-Manfort;"vorstädtisches Gebiet";Hintergrund;20;12
Nordrhein-Westfalen;DENW080;Solingen-Wald;"vorstädtisches Gebiet";Hintergrund;19;11
Nordrhein-Westfalen;DENW081;Borken-Gemen;"ländlich stadtnah";Hintergrund;21;8
Nordrhein-Westfalen;DENW094;Aachen-Burtscheid;"städtisches Gebiet";Hintergrund;17;8
Nordrhein-Westfalen;DENW095;Münster-Geist;"städtisches Gebiet";Hintergrund;21;7
Nordrhein-Westfalen;DENW096;Mönchengladbach-Rheydt;"vorstädtisches Gebiet";Hintergrund;21;16
Nordrhein-Westfalen;DENW114;Wuppertal-Langerfeld;"städtisches Gebiet";Hintergrund;23;9
Nordrhein-Westfalen;DENW179;Schwerte;"städtisches Gebiet";Hintergrund;19;8
Nordrhein-Westfalen;DENW021;Bottrop-Welheim;"städtisches Gebiet";Industrie;25;26
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;"städtisches Gebiet";Industrie;23;16
Nordrhein-Westfalen;DENW058;Hürth;"vorstädtisches Gebiet";Industrie;23;16
Nordrhein-Westfalen;DENW074;Niederzier;"ländlich stadtnah";Industrie;23;35
Nordrhein-Westfalen;DENW102;Duisburg-Bruckhausen;"städtisches Gebiet";Industrie;30;40
Nordrhein-Westfalen;DENW115;Krefeld-Stahldorf;"städtisches Gebiet";Industrie;24;18
Nordrhein-Westfalen;DENW116;"Krefeld (Hafen)";"vorstädtisches Gebiet";Industrie;32;35
Nordrhein-Westfalen;DENW117;Bochum-Stahlhausen;"städtisches Gebiet";Industrie;24;15
Nordrhein-Westfalen;DENW131;"Duisburg Kiebitzmühlenstraße";"städtisches Gebiet";Industrie;30;38
Nordrhein-Westfalen;DENW180;Grevenbroich-Gustorf;"vorstädtisches Gebiet";Industrie;25;26
Nordrhein-Westfalen;DENW181;Warstein;"städtisches Gebiet";Industrie;22;14
Nordrhein-Westfalen;DENW245;"Stolberg Heinrich-Böll-Platz";"städtisches Gebiet";Industrie;19;10
Nordrhein-Westfalen;DENW246;"Lünen Viktoriastraße";"städtisches Gebiet";Industrie;23;11
Nordrhein-Westfalen;DENW254;"Duisburg Bergstraße 48";"städtisches Gebiet";Industrie;25;20
Nordrhein-Westfalen;DENW301;"Mülheim Hofackerstraße 46-48";"städtisches Gebiet";Industrie;23;27
Nordrhein-Westfalen;DENW306;"Lünen Mühlenweg";"städtisches Gebiet";Industrie;28;34
Nordrhein-Westfalen;DENW307;"Kamp-Lintfort Eyller-Berg-Straße";"vorstädtisches Gebiet";Industrie;20;13
Nordrhein-Westfalen;DENW308;"Grevenbroich Josef-Lützkirchen-Straße";"städtisches Gebiet";Industrie;22;20
Nordrhein-Westfalen;DENW043;"Essen-Ost Steeler Straße";"städtisches Gebiet";Verkehr;25;12
Nordrhein-Westfalen;DENW082;"Düsseldorf Corneliusstraße";"städtisches Gebiet";Verkehr;28;25
Nordrhein-Westfalen;DENW100;"Mönchengladbach Düsseldorfer Straße";"städtisches Gebiet";Verkehr;20;18
Nordrhein-Westfalen;DENW101;"Dortmund Steinstraße";"städtisches Gebiet";Verkehr;24;17
Nordrhein-Westfalen;DENW112;"Duisburg Kardinal-Galen-Straße";"städtisches Gebiet";Verkehr;24;25
Nordrhein-Westfalen;DENW133;"Hagen Graf-von-Galen-Ring";"städtisches Gebiet";Verkehr;29;26
Nordrhein-Westfalen;DENW134;"Essen Gladbecker Straße";"städtisches Gebiet";Verkehr;28;34
Nordrhein-Westfalen;DENW136;"Dortmund Brackeler Straße";"städtisches Gebiet";Verkehr;28;32
Nordrhein-Westfalen;DENW186;"Bielefeld Stapenhorststraße 59";"städtisches Gebiet";Verkehr;24;12
Nordrhein-Westfalen;DENW188;"Oberhausen Mülheimer Straße 117";"städtisches Gebiet";Verkehr;30;37
Nordrhein-Westfalen;DENW189;"Wuppertal Gathe";"städtisches Gebiet";Verkehr;25;13
Nordrhein-Westfalen;DENW201;"Bottrop Peterstraße";"städtisches Gebiet";Verkehr;27;28
Nordrhein-Westfalen;DENW203;"Herne Recklinghauser Straße";"städtisches Gebiet";Verkehr;34;58
Nordrhein-Westfalen;DENW204;"Bochum Herner Straße";"städtisches Gebiet";Verkehr;27;20
Nordrhein-Westfalen;DENW207;"Aachen Wilhelmstraße";"städtisches Gebiet";Verkehr;27;32
Nordrhein-Westfalen;DENW208;"Gelsenkirchen Kurt-Schumacher-Straße";"städtisches Gebiet";Verkehr;33;51
Nordrhein-Westfalen;DENW211;"Köln Clevischer Ring";"städtisches Gebiet";Verkehr;30;27
Nordrhein-Westfalen;DENW212;"Köln Turiner Straße";"städtisches Gebiet";Verkehr;24;18
Nordrhein-Westfalen;DENW259;"Mönchengladbach Friedrich-Ebert-Straße";"städtisches Gebiet";Verkehr;27;28
Nordrhein-Westfalen;DENW260;"Münster Weseler Straße";"städtisches Gebiet";Verkehr;25;13
Nordrhein-Westfalen;DENW292;"Schwerte Hörder Straße";"städtisches Gebiet";Verkehr;28;24
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;"städtisches Gebiet";Hintergrund;19;6
Rheinland-Pfalz;DERP007;Mainz-Mombach;"städtisches Gebiet";Hintergrund;17;3
Rheinland-Pfalz;DERP008;Mainz-Goetheplatz;"städtisches Gebiet";Hintergrund;19;6
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;"städtisches Gebiet";Hintergrund;20;7
Rheinland-Pfalz;DERP013;Westpfalz-Waldmohr;"ländliches Gebiet";Hintergrund;13;1
Rheinland-Pfalz;DERP014;Hunsrück-Leisel;"ländliches Gebiet";Hintergrund;10;0
