"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3";"Zahl der Tageswerte über 50 µg/m3 nach Abzug Streusalz etc. *"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;16;1;-
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;16;1;-
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;16;1;-
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;17;5;-
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;20;3;-
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;17;2;1
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;15;1;-
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;17;1;-
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;17;4;-
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;15;1;-
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;7,4;0;-
Baden-Württemberg;DEBW033;Pforzheim;"städtisches Gebiet";Hintergrund;15;1;-
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;15;2;-
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;13;0;-
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;18;4;-
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;15;0;-
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;15;1;-
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;16;1;-
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;15;1;-
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;15;0;-
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;14;1;-
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;16;1;-
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;14;0;-
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;10;0;-
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;16;1;-
Baden-Württemberg;DEBW112;Gärtringen;"vorstädtisches Gebiet";Hintergrund;13;6;-
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;16;0;-
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;16;0;-
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"städtisches Gebiet";Verkehr;19;1;-
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"städtisches Gebiet";Verkehr;22;1;-
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"städtisches Gebiet";Verkehr;25;20;19
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"städtisches Gebiet";Verkehr;24;14;13
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"städtisches Gebiet";Verkehr;24;17;13
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"städtisches Gebiet";Verkehr;38;63;58
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"städtisches Gebiet";Verkehr;18;2;-
Baden-Württemberg;DEBW125;"Pfinztal Karlsruher Straße";"vorstädtisches Gebiet";Verkehr;18;1;-
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"städtisches Gebiet";Verkehr;25;24;21
Baden-Württemberg;DEBW137;"Tübingen Jesinger Hauptstraße";"ländlich stadtnah";Verkehr;21;9;-
Baden-Württemberg;DEBW142;"Markgröningen Grabenstraße";"vorstädtisches Gebiet";Verkehr;26;20;19
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"städtisches Gebiet";Verkehr;28;22;21
Baden-Württemberg;DEBW152;"Heilbronn Weinsberger Straße-Ost";"städtisches Gebiet";Verkehr;24;9;-
Baden-Württemberg;DEBW156;"Schramberg Oberndorfer Straße";"städtisches Gebiet";Verkehr;18;3;-
Baden-Württemberg;DEBW219;"Backnang Eugen-Adolff-Straße";"städtisches Gebiet";Verkehr;26;8;-
Baden-Württemberg;DEBW220;"Esslingen Grabbrunnenstraße";"städtisches Gebiet";Verkehr;26;27;26
Baden-Württemberg;DEBW221;"Konstanz Theodor-Heuss-Straße";"städtisches Gebiet";Verkehr;20;5;-
Baden-Württemberg;DEBW222;"Kuchen Hauptstraße";"ländliches Gebiet";Verkehr;22;6;5
Baden-Württemberg;DEBW223;"Leinfelden-Echterdingen Hauptstraße";"städtisches Gebiet";Verkehr;22;14;-
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;18;1;-
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;17;2;-
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;17;2;-
Bayern;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"städtisches Gebiet";Hintergrund;17;2;-
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;17;1;-
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;"städtisches Gebiet";Hintergrund;17;1;-
Bayern;DEBY068;Schweinfurt/Obertor;"städtisches Gebiet";Hintergrund;16;1;-
Bayern;DEBY072;Tiefenbach/Altenschneeberg;"ländlich regional";Hintergrund;10;0;-
Bayern;DEBY077;Würzburg/Kopfklinik;"vorstädtisches Gebiet";Hintergrund;15;0;-
Bayern;DEBY088;Trostberg/Schwimmbadstraße;"vorstädtisches Gebiet";Hintergrund;15;2;-
Bayern;DEBY089;München/Johanneskirchen;"vorstädtisches Gebiet";Hintergrund;14;1;-
Bayern;DEBY093;Sulzbach-Rosenberg/Lohe;"vorstädtisches Gebiet";Hintergrund;15;0;-
Bayern;DEBY099;Augsburg/LfU;"vorstädtisches Gebiet";Hintergrund;14;2;-
Bayern;DEBY109;Andechs/Rothenfeld;"ländlich regional";Hintergrund;12;0;-
Bayern;DEBY118;Passau/Stelzhamerstraße;"städtisches Gebiet";Hintergrund;19;5;-
Bayern;DEBY122;"Bad Hindelang/Oberjoch";"ländlich regional";Hintergrund;7,1;0;-
Bayern;DEBY188;Schwabach/Angerstraße;"städtisches Gebiet";Hintergrund;17;0;-
Bayern;DEBY001;Ansbach/Residenzstraße;"städtisches Gebiet";Verkehr;18;1;-
Bayern;DEBY006;Augsburg/Königsplatz;"städtisches Gebiet";Verkehr;19;4;3
Bayern;DEBY021;Ingolstadt/Rechbergstraße;"städtisches Gebiet";Verkehr;17;2;-
Bayern;DEBY028;"Kelheim/Regensburger Straße";"städtisches Gebiet";Verkehr;17;0;-
Bayern;DEBY033;Landshut/Podewilsstraße;"städtisches Gebiet";Verkehr;18;2;-
Bayern;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"städtisches Gebiet";Verkehr;16;2;-
Bayern;DEBY037;München/Stachus;"städtisches Gebiet";Verkehr;22;8;7
Bayern;DEBY056;Fürth/Theresienstraße;"städtisches Gebiet";Verkehr;17;2;-
Bayern;DEBY063;Regensburg/Rathaus;"städtisches Gebiet";Verkehr;18;0;-
Bayern;DEBY110;Augsburg/Karlstraße;"städtisches Gebiet";Verkehr;22;7;4
Bayern;DEBY111;Bayreuth/Hohenzollernring;"städtisches Gebiet";Verkehr;18;2;-
Bayern;DEBY115;"München/Landshuter Allee";"städtisches Gebiet";Verkehr;25;15;6
Bayern;DEBY119;"Würzburg/Stadtring Süd";"städtisches Gebiet";Verkehr;23;3;-
Bayern;DEBY120;Nürnberg/Von-der-Tann-Straße;"städtisches Gebiet";Verkehr;24;6;4
Bayern;DEBY121;Oberaudorf/Inntal-Autobahn;"ländlich stadtnah";Verkehr;18;3;-
Berlin;DEBE010;"Berlin Wedding";"städtisches Gebiet";Hintergrund;21;5;-
Berlin;DEBE032;"Berlin Grunewald (3.5 m)";"ländlich stadtnah";Hintergrund;17;4;-
Berlin;DEBE034;"Berlin Neukölln";"städtisches Gebiet";Hintergrund;23;6;-
Berlin;DEBE051;"Berlin Buch";"vorstädtisches Gebiet";Hintergrund;20;5;-
Berlin;DEBE056;"Berlin Friedrichshagen";"ländlich stadtnah";Hintergrund;18;4;-
Berlin;DEBE068;"Berlin Mitte";"städtisches Gebiet";Hintergrund;22;6;-
Berlin;DEBE061;"Berlin Schildhornstraße";"städtisches Gebiet";Verkehr;25;13;-
Berlin;DEBE063;"Berlin Silbersteinstraße";"städtisches Gebiet";Verkehr;26;14;-
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"städtisches Gebiet";Verkehr;29;18;-
Berlin;DEBE065;"Berlin Frankfurter Allee";"städtisches Gebiet";Verkehr;28;14;-
Berlin;DEBE069;"Berlin Mariendorfer Damm";"städtisches Gebiet";Verkehr;26;8;-
Brandenburg;DEBB007;"Elsterwerda, 1992-2020";"vorstädtisches Gebiet";Hintergrund;19;5;-
Brandenburg;DEBB021;Potsdam-Zentrum;"städtisches Gebiet";Hintergrund;20;6;-
Brandenburg;DEBB048;Neuruppin;"vorstädtisches Gebiet";Hintergrund;17;3;-
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;18;6;-
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;16;5;-
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;15;3;-
Brandenburg;DEBB064;Cottbus;"städtisches Gebiet";Hintergrund;19;6;-
Brandenburg;DEBB065;"Lütte (Belzig)";"ländlich regional";Hintergrund;15;4;-
Brandenburg;DEBB066;Spreewald;"ländlich regional";Hintergrund;16;4;-
Brandenburg;DEBB067;Nauen;"vorstädtisches Gebiet";Hintergrund;18;4;-
Brandenburg;DEBB083;Spremberg;"vorstädtisches Gebiet";Hintergrund;20;7;-
Brandenburg;DEBB086;Blankenfelde-Mahlow;"vorstädtisches Gebiet";Hintergrund;20;5;-
Brandenburg;DEBB092;"Frankfurt (Oder)";"vorstädtisches Gebiet";Hintergrund;18;8;-
Brandenburg;DEBB029;"Schwedt (Oder)";"vorstädtisches Gebiet";Industrie;18;7;-
Brandenburg;DEBB032;Eisenhüttenstadt;"vorstädtisches Gebiet";Industrie;21;11;-
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"städtisches Gebiet";Verkehr;20;4;-
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"städtisches Gebiet";Verkehr;26;16;-
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"städtisches Gebiet";Verkehr;21;3;-
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"städtisches Gebiet";Verkehr;26;15;-
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"städtisches Gebiet";Verkehr;23;10;-
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"städtisches Gebiet";Verkehr;21;6;-
