"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3";"Zahl der Tageswerte über 50 µg/m3 nach Abzug Streusalz etc. *"
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"städtisches Gebiet";Verkehr;20;5;-
Brandenburg;DEBB087;"Cottbus, W.-Külz-Str.";"städtisches Gebiet";Verkehr;22;12;-
Bremen;DEHB001;Bremen-Mitte;"städtisches Gebiet";Hintergrund;17;4;-
Bremen;DEHB002;Bremen-Ost;"städtisches Gebiet";Hintergrund;17;5;-
Bremen;DEHB004;Bremen-Nord;"städtisches Gebiet";Hintergrund;17;4;-
Bremen;DEHB005;Bremerhaven-Hansastraße;"städtisches Gebiet";Hintergrund;17;3;-
Bremen;DEHB012;Bremen-Oslebshausen;"städtisches Gebiet";Hintergrund;19;4;-
Bremen;DEHB013;Bremen-Hasenbüren;"ländlich regional";Industrie;20;6;-
Bremen;DEHB006;Bremen-Dobben;"städtisches Gebiet";Verkehr;23;6;-
Bremen;DEHB011;"Bremerhaven-Cherbourger Straße";"städtisches Gebiet";Verkehr;24;7;-
Hamburg;DEHH008;"Hamburg Sternschanze";"städtisches Gebiet";Hintergrund;18;2;-
Hamburg;DEHH033;"Hamburg Flughafen Nord";"städtisches Gebiet";Hintergrund;17;2;-
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"städtisches Gebiet";Hintergrund;17;2;-
Hamburg;DEHH079;"Hamburg Altona Elbhang";"städtisches Gebiet";Hintergrund;21;2;-
Hamburg;DEHH081;"Hamburg Hafen";"städtisches Gebiet";Hintergrund;19;2;-
Hamburg;DEHH015;"Hamburg Veddel";"städtisches Gebiet";Industrie;19;2;-
Hamburg;DEHH016;"Hamburg Billbrook";"städtisches Gebiet";Industrie;16;3;-
Hamburg;DEHH072;"Hamburg Finkenwerder West";"städtisches Gebiet";Industrie;17;1;-
Hamburg;DEHH026;"Hamburg Stresemannstraße";"städtisches Gebiet";Verkehr;19;3;-
Hamburg;DEHH068;"Hamburg Habichtstraße";"städtisches Gebiet";Verkehr;25;7;-
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"städtisches Gebiet";Verkehr;20;2;-
Hessen;DEHE001;Darmstadt;"städtisches Gebiet";Hintergrund;17;0;-
Hessen;DEHE005;Frankfurt-Höchst;"städtisches Gebiet";Hintergrund;18;1;-
Hessen;DEHE008;"Frankfurt Ost";"städtisches Gebiet";Hintergrund;20;3;-
Hessen;DEHE011;Hanau;"städtisches Gebiet";Hintergrund;17;0;-
Hessen;DEHE013;"Kassel Mitte";"städtisches Gebiet";Hintergrund;17;2;-
Hessen;DEHE018;Raunheim;"städtisches Gebiet";Hintergrund;17;1;-
Hessen;DEHE020;Wetzlar;"städtisches Gebiet";Hintergrund;21;3;-
Hessen;DEHE022;"Wiesbaden Süd";"städtisches Gebiet";Hintergrund;16;1;-
Hessen;DEHE024;Witzenhausen/Wald;"ländliches Gebiet";Hintergrund;14;6;-
Hessen;DEHE028;Fürth/Odenwald;"ländliches Gebiet";Hintergrund;12;0;-
Hessen;DEHE030;Marburg;"städtisches Gebiet";Hintergrund;17;0;-
Hessen;DEHE032;Bebra;"städtisches Gebiet";Hintergrund;17;2;-
Hessen;DEHE043;Riedstadt;"ländlich stadtnah";Hintergrund;16;0;-
Hessen;DEHE044;Limburg;"städtisches Gebiet";Hintergrund;17;0;-
Hessen;DEHE045;Michelstadt;"städtisches Gebiet";Hintergrund;15;0;-
Hessen;DEHE046;"Bad Arolsen";"ländliches Gebiet";Hintergrund;14;0;-
Hessen;DEHE050;Zierenberg;"ländliches Gebiet";Hintergrund;12;0;-
Hessen;DEHE051;Wasserkuppe;"ländliches Gebiet";Hintergrund;8,3;0;-
Hessen;DEHE052;"Kleiner Feldberg";"ländliches Gebiet";Hintergrund;8,7;0;-
Hessen;DEHE058;Fulda-Mitte;"städtisches Gebiet";Hintergrund;17;0;-
Hessen;DEHE060;Kellerwald;"ländlich regional";Hintergrund;11;0;-
Hessen;DEHE095;"Wetzlar Im Köhlersgarten";"vorstädtisches Gebiet";Industrie;21;0;-
Hessen;DEHE037;"Wiesbaden Ringkirche";"städtisches Gebiet";Verkehr;19;1;-
Hessen;DEHE040;"Darmstadt Hügelstraße";"städtisches Gebiet";Verkehr;21;4;-
Hessen;DEHE041;"Frankfurt Friedberger Landstraße";"städtisches Gebiet";Verkehr;23;7;-
Hessen;DEHE049;"Kassel Fünffensterstraße";"städtisches Gebiet";Verkehr;24;7;-
Hessen;DEHE059;"Fulda Petersberger Straße";"städtisches Gebiet";Verkehr;20;0;-
Hessen;DEHE061;"Gießen Westanlage";"städtisches Gebiet";Verkehr;21;0;-
Hessen;DEHE062;"Marburg Universitätsstraße";"städtisches Gebiet";Verkehr;19;2;-
Hessen;DEHE063;"Heppenheim Lehrstraße";"städtisches Gebiet";Verkehr;19;2;-
Hessen;DEHE112;"Wiesbaden Schiersteiner Straße";"städtisches Gebiet";Verkehr;19;2;-
Hessen;DEHE116;"Offenbach Untere Grenzstraße";"städtisches Gebiet";Verkehr;20;1;-
Hessen;DEHE131;"Limburg Schiede";"städtisches Gebiet";Verkehr;23;7;-
Mecklenburg-Vorpommern;DEMV004;Gülzow;"ländliches Gebiet";Hintergrund;15;3;-
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;"vorstädtisches Gebiet";Hintergrund;15;1;-
Mecklenburg-Vorpommern;DEMV012;Löcknitz;"ländliches Gebiet";Hintergrund;17;5;-
Mecklenburg-Vorpommern;DEMV017;Göhlen;"ländliches Gebiet";Hintergrund;17;5;-
Mecklenburg-Vorpommern;DEMV019;Güstrow;"städtisches Gebiet";Hintergrund;17;2;-
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;"städtisches Gebiet";Hintergrund;17;3;-
Mecklenburg-Vorpommern;DEMV024;Leizen;"ländliches Gebiet";Hintergrund;16;4;-
Mecklenburg-Vorpommern;DEMV026;Garz;"ländliches Gebiet";Hintergrund;15;1;-
Mecklenburg-Vorpommern;DEMV031;"Rostock-Hohe Düne";"städtisches Gebiet";Industrie;15;2;-
Mecklenburg-Vorpommern;DEMV003;Neubrandenburg;"städtisches Gebiet";Verkehr;19;7;-
Mecklenburg-Vorpommern;DEMV020;"Rostock Am Strande";"städtisches Gebiet";Verkehr;23;6;-
Mecklenburg-Vorpommern;DEMV022;Rostock-Holbeinplatz;"städtisches Gebiet";Verkehr;21;6;-
Mecklenburg-Vorpommern;DEMV023;Schwerin-Obotritenring;"städtisches Gebiet";Verkehr;18;3;-
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;"städtisches Gebiet";Verkehr;17;1;-
Niedersachsen;DENI011;Braunschweig;"vorstädtisches Gebiet";Hintergrund;15;4;-
Niedersachsen;DENI016;Oker/Harlingerode;"vorstädtisches Gebiet";Hintergrund;12;4;-
Niedersachsen;DENI020;Wolfsburg;"vorstädtisches Gebiet";Hintergrund;15;4;-
Niedersachsen;DENI028;Eichsfeld;"vorstädtisches Gebiet";Hintergrund;15;3;-
Niedersachsen;DENI029;Ostfriesland;"vorstädtisches Gebiet";Hintergrund;16;3;-
Niedersachsen;DENI031;Jadebusen;"ländliches Gebiet";Hintergrund;15;1;-
Niedersachsen;DENI038;Osnabrück;"städtisches Gebiet";Hintergrund;16;4;-
Niedersachsen;DENI041;Weserbergland;"vorstädtisches Gebiet";Hintergrund;16;3;-
Niedersachsen;DENI042;Göttingen;"vorstädtisches Gebiet";Hintergrund;13;2;-
Niedersachsen;DENI043;Emsland;"vorstädtisches Gebiet";Hintergrund;16;3;-
Niedersachsen;DENI051;Wurmberg;"ländliches Gebiet";Hintergrund;8,3;0;-
Niedersachsen;DENI052;Allertal;"vorstädtisches Gebiet";Hintergrund;16;4;-
Niedersachsen;DENI054;Hannover;"städtisches Gebiet";Hintergrund;16;4;-
Niedersachsen;DENI058;"Ostfries. Inseln";"ländliches Gebiet";Hintergrund;15;2;-
Niedersachsen;DENI059;Elbmündung;"ländliches Gebiet";Hintergrund;14;1;-
Niedersachsen;DENI060;Wendland;"ländliches Gebiet";Hintergrund;14;3;-
Niedersachsen;DENI062;"Lüneburger Heide";"vorstädtisches Gebiet";Hintergrund;15;1;-
Niedersachsen;DENI063;"Altes Land";"ländliches Gebiet";Hintergrund;14;1;-
Niedersachsen;DENI077;Solling-Süd;"ländliches Gebiet";Hintergrund;13;2;-
Niedersachsen;DENI053;Südoldenburg;"vorstädtisches Gebiet";Industrie;20;7;-
Niedersachsen;DENI070;Salzgitter-Drütte;"ländliches Gebiet";Industrie;15;4;-
Niedersachsen;DENI048;"Hannover Verkehr";"städtisches Gebiet";Verkehr;22;6;-
Niedersachsen;DENI067;Osnabrück-Verkehr;"städtisches Gebiet";Verkehr;24;8;-
Niedersachsen;DENI068;Göttingen-Verkehr;"städtisches Gebiet";Verkehr;20;5;-
Niedersachsen;DENI071;Barbis-Verkehr;"vorstädtisches Gebiet";Verkehr;17;3;-
Niedersachsen;DENI075;Braunschweig-Verkehr;"städtisches Gebiet";Verkehr;19;6;-
Niedersachsen;DENI143;"Oldenburg Heiligengeistwall";"städtisches Gebiet";Verkehr;22;6;-
Niedersachsen;DENI157;"Wolfsburg Heßlinger Straße";"städtisches Gebiet";Verkehr;19;6;-
Nordrhein-Westfalen;DENW002;Datteln-Hagem;"vorstädtisches Gebiet";Hintergrund;17;2;-
Nordrhein-Westfalen;DENW006;Lünen-Niederaden;"vorstädtisches Gebiet";Hintergrund;14;1;-
Nordrhein-Westfalen;DENW008;Dortmund-Eving;"städtisches Gebiet";Hintergrund;19;8;-
Nordrhein-Westfalen;DENW022;Gelsenkirchen-Bismarck;"vorstädtisches Gebiet";Hintergrund;20;10;-
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;"städtisches Gebiet";Hintergrund;20;4;-
Nordrhein-Westfalen;DENW029;Hattingen-Blankenstein;"vorstädtisches Gebiet";Hintergrund;16;0;-
Nordrhein-Westfalen;DENW030;Wesel-Feldmark;"vorstädtisches Gebiet";Hintergrund;17;3;-
Nordrhein-Westfalen;DENW038;Mülheim-Styrum;"städtisches Gebiet";Hintergrund;19;4;-
Nordrhein-Westfalen;DENW040;Duisburg-Buchholz;"vorstädtisches Gebiet";Hintergrund;17;0;-
Nordrhein-Westfalen;DENW042;Krefeld-Linn;"städtisches Gebiet";Hintergrund;16;2;-
Nordrhein-Westfalen;DENW053;Köln-Chorweiler;"städtisches Gebiet";Hintergrund;18;4;-
Nordrhein-Westfalen;DENW059;Köln-Rodenkirchen;"vorstädtisches Gebiet";Hintergrund;18;0;-
Nordrhein-Westfalen;DENW062;Bonn-Auerberg;"vorstädtisches Gebiet";Hintergrund;17;4;-
Nordrhein-Westfalen;DENW064;"Simmerath (Eifel)";"ländlich regional";Hintergrund;9,4;0;-
Nordrhein-Westfalen;DENW065;"Netphen Rothaargebirge";"ländlich regional";Hintergrund;10;0;-
Nordrhein-Westfalen;DENW066;Nettetal-Kaldenkirchen;"ländlich stadtnah";Hintergrund;19;2;-
Nordrhein-Westfalen;DENW067;Bielefeld-Ost;"städtisches Gebiet";Hintergrund;19;2;-
Nordrhein-Westfalen;DENW068;Soest-Ost;"ländlich stadtnah";Hintergrund;16;0;-
Nordrhein-Westfalen;DENW071;Düsseldorf-Lörick;"städtisches Gebiet";Hintergrund;17;0;-
Nordrhein-Westfalen;DENW078;Ratingen-Tiefenbroich;"vorstädtisches Gebiet";Hintergrund;16;0;-
Nordrhein-Westfalen;DENW079;Leverkusen-Manfort;"vorstädtisches Gebiet";Hintergrund;14;0;-
Nordrhein-Westfalen;DENW080;Solingen-Wald;"vorstädtisches Gebiet";Hintergrund;16;1;-
Nordrhein-Westfalen;DENW081;Borken-Gemen;"ländlich stadtnah";Hintergrund;18;0;-
Nordrhein-Westfalen;DENW094;Aachen-Burtscheid;"städtisches Gebiet";Hintergrund;14;0;-
Nordrhein-Westfalen;DENW095;Münster-Geist;"städtisches Gebiet";Hintergrund;15;3;-
Nordrhein-Westfalen;DENW096;Mönchengladbach-Rheydt;"vorstädtisches Gebiet";Hintergrund;19;1;-
Nordrhein-Westfalen;DENW114;Wuppertal-Langerfeld;"städtisches Gebiet";Hintergrund;15;0;-
Nordrhein-Westfalen;DENW179;Schwerte;"städtisches Gebiet";Hintergrund;17;1;-
Nordrhein-Westfalen;DENW021;Bottrop-Welheim;"städtisches Gebiet";Industrie;22;7;-
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;"städtisches Gebiet";Industrie;20;4;-
Nordrhein-Westfalen;DENW058;Hürth;"vorstädtisches Gebiet";Industrie;16;1;-
Nordrhein-Westfalen;DENW074;Niederzier;"ländlich stadtnah";Industrie;21;13;-
Nordrhein-Westfalen;DENW116;"Krefeld (Hafen)";"vorstädtisches Gebiet";Industrie;22;8;-
Nordrhein-Westfalen;DENW117;Bochum-Stahlhausen;"städtisches Gebiet";Industrie;19;2;-
Nordrhein-Westfalen;DENW131;"Duisburg Kiebitzmühlenstraße";"städtisches Gebiet";Industrie;27;16;-
Nordrhein-Westfalen;DENW180;Grevenbroich-Gustorf;"vorstädtisches Gebiet";Industrie;21;7;-
Nordrhein-Westfalen;DENW181;Warstein;"städtisches Gebiet";Industrie;19;8;-
Nordrhein-Westfalen;DENW245;"Stolberg Heinrich-Böll-Platz";"städtisches Gebiet";Industrie;16;0;-
Nordrhein-Westfalen;DENW246;"Lünen Viktoriastraße";"städtisches Gebiet";Industrie;19;2;-
Nordrhein-Westfalen;DENW254;"Duisburg Bergstraße 48";"städtisches Gebiet";Industrie;22;6;-
Nordrhein-Westfalen;DENW301;"Mülheim Hofackerstraße 46-48";"städtisches Gebiet";Industrie;19;3;-
Nordrhein-Westfalen;DENW329;Jackerath;"ländliches Gebiet";Industrie;20;5;-
Nordrhein-Westfalen;DENW337;Jüchen-Hochneukirch;"ländlich stadtnah";Industrie;22;5;-
Nordrhein-Westfalen;DENW338;Duisburg-Bruckhausen;"städtisches Gebiet";Industrie;24;8;-
Nordrhein-Westfalen;DENW359;Mönchengladbach-Wanlo;"ländlich stadtnah";Industrie;21;5;-
Nordrhein-Westfalen;DENW043;"Essen-Ost Steeler Straße";"städtisches Gebiet";Verkehr;18;1;-
Nordrhein-Westfalen;DENW082;"Düsseldorf Corneliusstraße";"städtisches Gebiet";Verkehr;25;13;-
Nordrhein-Westfalen;DENW100;"Mönchengladbach Düsseldorfer Straße";"städtisches Gebiet";Verkehr;18;0;-
Nordrhein-Westfalen;DENW101;"Dortmund Steinstraße";"städtisches Gebiet";Verkehr;21;4;-
Nordrhein-Westfalen;DENW112;"Duisburg Kardinal-Galen-Straße";"städtisches Gebiet";Verkehr;22;4;-
Nordrhein-Westfalen;DENW133;"Hagen Graf-von-Galen-Ring";"städtisches Gebiet";Verkehr;26;17;-
Nordrhein-Westfalen;DENW134;"Essen Gladbecker Straße";"städtisches Gebiet";Verkehr;25;15;-
Nordrhein-Westfalen;DENW136;"Dortmund Brackeler Straße";"städtisches Gebiet";Verkehr;24;11;-
Nordrhein-Westfalen;DENW188;"Oberhausen Mülheimer Straße 117";"städtisches Gebiet";Verkehr;24;9;-
Nordrhein-Westfalen;DENW189;"Wuppertal Gathe";"städtisches Gebiet";Verkehr;22;10;-
Nordrhein-Westfalen;DENW200;"Bielefeld Detmolder Straße";"städtisches Gebiet";Verkehr;22;6;-
Nordrhein-Westfalen;DENW207;"Aachen Wilhelmstraße";"städtisches Gebiet";Verkehr;23;3;-
Nordrhein-Westfalen;DENW208;"Gelsenkirchen Kurt-Schumacher-Straße";"städtisches Gebiet";Verkehr;28;26;-
Nordrhein-Westfalen;DENW211;"Köln Clevischer Ring";"städtisches Gebiet";Verkehr;27;10;-
Nordrhein-Westfalen;DENW212;"Köln Turiner Straße";"städtisches Gebiet";Verkehr;20;0;-
Nordrhein-Westfalen;DENW259;"Mönchengladbach Friedrich-Ebert-Straße";"städtisches Gebiet";Verkehr;23;10;-
Nordrhein-Westfalen;DENW260;"Münster Weseler Straße";"städtisches Gebiet";Verkehr;23;5;-
Nordrhein-Westfalen;DENW351;"Gelsenkirchen Grothusstraße";"städtisches Gebiet";Verkehr;23;16;-
