"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Sachsen;DESN045;Zittau-Ost;"vorstädtisches Gebiet";Hintergrund;25;32
Sachsen;DESN049;Carlsfeld;"ländlich abgelegen";Hintergrund;12;0
Sachsen;DESN051;Radebeul-Wahnsdorf;"ländlich stadtnah";Hintergrund;22;26
Sachsen;DESN059;Leipzig-West;"vorstädtisches Gebiet";Hintergrund;22;24
Sachsen;DESN074;Schwartenberg;"ländlich regional";Hintergrund;15;7
Sachsen;DESN076;Collmberg;"ländlich abgelegen";Hintergrund;19;19
Sachsen;DESN079;Niesky;"ländlich regional";Hintergrund;19;24
Sachsen;DESN092;Dresden-Winckelmannstr.;"städtisches Gebiet";Hintergrund;22;29
Sachsen;DESN093;Brockau;"ländlich regional";Hintergrund;18;13
Sachsen;DESN006;Borna;"städtisches Gebiet";Verkehr;26;32
Sachsen;DESN020;Görlitz;"städtisches Gebiet";Verkehr;30;46
Sachsen;DESN025;Leipzig-Mitte;"städtisches Gebiet";Verkehr;35;63
Sachsen;DESN061;Dresden-Nord;"städtisches Gebiet";Verkehr;29;42
Sachsen;DESN075;Plauen-Süd;"städtisches Gebiet";Verkehr;23;29
Sachsen;DESN077;"Leipzig Lützner Str.";"städtisches Gebiet";Verkehr;34;69
Sachsen;DESN083;"Chemnitz-Leipziger Str.";"städtisches Gebiet";Verkehr;29;39
Sachsen;DESN084;Dresden-Bergstr.;"städtisches Gebiet";Verkehr;31;46
Sachsen;DESN091;"Zwickau-Werdauer Str.";"städtisches Gebiet";Verkehr;32;53
Sachsen-Anhalt;DEST002;Burg;"vorstädtisches Gebiet";Hintergrund;24;28
Sachsen-Anhalt;DEST011;Wernigerode/Bahnhof;"städtisches Gebiet";Hintergrund;22;15
Sachsen-Anhalt;DEST028;Zeitz;"städtisches Gebiet";Hintergrund;23;24
Sachsen-Anhalt;DEST029;Bernburg;"vorstädtisches Gebiet";Hintergrund;26;32
Sachsen-Anhalt;DEST044;Halberstadt;"städtisches Gebiet";Hintergrund;23;24
Sachsen-Anhalt;DEST050;Halle/Nord;"städtisches Gebiet";Hintergrund;25;30
Sachsen-Anhalt;DEST066;Wittenberg/Bahnstrasse;"städtisches Gebiet";Hintergrund;22;25
Sachsen-Anhalt;DEST077;Magdeburg/West;"städtisches Gebiet";Hintergrund;25;31
Sachsen-Anhalt;DEST089;Zartau/Waldstation;"ländlich regional";Hintergrund;20;19
Sachsen-Anhalt;DEST098;"Unterharz / Friedrichsbrunn";"ländlich regional";Hintergrund;18;7
Sachsen-Anhalt;DEST104;"Domäne Bobbe";"ländliches Gebiet";Hintergrund;22;26
Sachsen-Anhalt;DEST105;"Stendal Stadtsee";"städtisches Gebiet";Hintergrund;22;19
Sachsen-Anhalt;DEST015;Bitterfeld/Wolfen;"vorstädtisches Gebiet";Industrie;24;29
Sachsen-Anhalt;DEST068;Pouch;"ländlich stadtnah";Industrie;21;27
Sachsen-Anhalt;DEST090;Leuna;"vorstädtisches Gebiet";Industrie;24;25
Sachsen-Anhalt;DEST097;"Hettstedt Industrie";"vorstädtisches Gebiet";Industrie;22;23
Sachsen-Anhalt;DEST075;"Halle/Merseburger Strasse";"städtisches Gebiet";Verkehr;28;41
Sachsen-Anhalt;DEST076;Magdeburg/Damaschkeplatz;"städtisches Gebiet";Verkehr;27;33
Sachsen-Anhalt;DEST081;Weißenfels/Promenade;"städtisches Gebiet";Verkehr;27;32
Sachsen-Anhalt;DEST091;"Dessau Albrechtsplatz";"städtisches Gebiet";Verkehr;26;35
Sachsen-Anhalt;DEST092;"Wittenberg/Dessauer Strasse";"städtisches Gebiet";Verkehr;29;48
Sachsen-Anhalt;DEST095;Aschersleben;"städtisches Gebiet";Verkehr;28;42
Sachsen-Anhalt;DEST099;Magdeburg/Reuterallee;"städtisches Gebiet";Verkehr;32;53
Sachsen-Anhalt;DEST101;Halberstadt/Friedenstrasse;"städtisches Gebiet";Verkehr;29;39
Sachsen-Anhalt;DEST102;Halle/Paracelsusstr.;"städtisches Gebiet";Verkehr;35;59
Sachsen-Anhalt;DEST103;"Magdeburg Schleinufer";"städtisches Gebiet";Verkehr;32;51
Schleswig-Holstein;DESH008;Bornhöved;"ländlich regional";Hintergrund;20;18
Schleswig-Holstein;DESH023;"Lübeck-St. Jürgen";"städtisches Gebiet";Hintergrund;22;17
Schleswig-Holstein;DESH033;Kiel-Max-Planck-Str.;"städtisches Gebiet";Hintergrund;23;17
Schleswig-Holstein;DESH035;"Brunsbüttel-Cuxhavener Straße";"städtisches Gebiet";Hintergrund;25;24
Schleswig-Holstein;DESH022;Flensburg;"städtisches Gebiet";Verkehr;25;23
Schleswig-Holstein;DESH025;"Itzehoe Lindenstr.";"städtisches Gebiet";Verkehr;25;21
Schleswig-Holstein;DESH026;"Lübeck Gr. Burgstr.";"städtisches Gebiet";Verkehr;24;24
Schleswig-Holstein;DESH027;"Kiel-Bahnhofstr. Verk.";"städtisches Gebiet";Verkehr;26;30
Schleswig-Holstein;DESH028;Ratzeburg;"städtisches Gebiet";Verkehr;25;19
Thüringen;DETH005;Saalfeld;"städtisches Gebiet";Hintergrund;23;25
Thüringen;DETH009;"Gera Friedericistr.";"städtisches Gebiet";Hintergrund;25;30
Thüringen;DETH011;"Altenburg Theaterplatz";"städtisches Gebiet";Hintergrund;22;24
Thüringen;DETH013;"Eisenach Werneburgstr.";"städtisches Gebiet";Hintergrund;22;23
Thüringen;DETH018;Nordhausen;"städtisches Gebiet";Hintergrund;23;24
Thüringen;DETH020;"Erfurt Krämpferstr.";"städtisches Gebiet";Hintergrund;23;21
Thüringen;DETH026;Dreißigacker;"ländlich regional";Hintergrund;17;7
Thüringen;DETH027;Neuhaus;"ländlich abgelegen";Hintergrund;12;2
Thüringen;DETH036;"Greiz Mollbergstr.";"städtisches Gebiet";Hintergrund;23;23
Thüringen;DETH041;"Jena Dammstr.";"städtisches Gebiet";Hintergrund;24;22
Thüringen;DETH042;Possen;"ländlich abgelegen";Hintergrund;16;8
Thüringen;DETH060;Zella-Mehlis;"städtisches Gebiet";Hintergrund;21;14
Thüringen;DETH061;Hummelshain;"ländlich abgelegen";Hintergrund;15;11
Thüringen;DETH093;"Weimar Schwanseestr.";"städtisches Gebiet";Hintergrund;21;18
Thüringen;DETH095;"Mühlhausen Bastmarkt";"städtisches Gebiet";Hintergrund;23;26
Thüringen;DETH096;"Sömmerda Wielandstr.";"vorstädtisches Gebiet";Hintergrund;20;19
Thüringen;DETH043;"Erfurt Bergstr.";"städtisches Gebiet";Verkehr;29;40
Thüringen;DETH072;"Suhl F.-König-Str";"städtisches Gebiet";Verkehr;19;9
Thüringen;DETH083;"Weimar Steubenstr.";"städtisches Gebiet";Verkehr;30;46
Thüringen;DETH084;"Weimar K.-Liebknecht-Str.";"städtisches Gebiet";Verkehr;26;30
Thüringen;DETH091;"Mühlhausen Wanfrieder Str";"städtisches Gebiet";Verkehr;32;56
Thüringen;DETH094;"Mühlhausen Kiliansgr.";"städtisches Gebiet";Verkehr;27;37
UBA;DEUB001;Westerland;"ländliches Gebiet";Hintergrund;22;15
UBA;DEUB004;Schauinsland;"ländlich regional";Hintergrund;9;0
UBA;DEUB005;Waldhof;"ländliches Gebiet";Hintergrund;19;15
UBA;DEUB028;Zingst;"ländliches Gebiet";Hintergrund;19;16
UBA;DEUB029;Schmücke;"ländliches Gebiet";Hintergrund;11;2
UBA;DEUB030;Neuglobsow;"ländlich regional";Hintergrund;17;15

"* Nach § 20 bzw. § 21 der Richtlinie 2008/50/EG können Überschreitungen des PM₁₀-Tagesmittelgrenzwertes aufgrund von natürlichen Quellen bzw. Streusand oder -salz im Winterdienst abgezogen werden."

"Quelle: Umweltbundesamt, https://www.umweltbundesamt.de/daten/luft/luftdaten/jahresbilanzen (Stand: 25.07.2012). Alle Uhrzeiten sind in der jeweils zum Messzeitpunkt gültigen Zeit (MEZ bzw. MESZ) angegeben."
